East Windsor Medical Commons,Abdomen (all abdominal organs),3,76700,155.00,300A Princeton-Hightstown Road Suite 101,East Windsor,NJ,08520,(609) 426-9200,http://www.4rai.com,MB
Denville Diagnostics,Ultrasound - Abdomen Complete,3,,250.00,161 East Main St.,Denville,NJ,07834,973-586-1212,http://www.denvillediagnostics.com/,MB
Denville Diagnostics,Ultrasound - Pelvic Complete ,2,,250.00,161 East Main St.,Denville,NJ,07834,973-586-1212,http://www.denvillediagnostics.com/,MB
North Jersey Imaging Center,Pelvic ultrasound,2,76856,250.00,307 West 60th St.,West New York,NJ,07093,201-854-1200,radiologyimagingcenters.com,Juliet
American Imaging of New Jersey,Pelvic ultrasound,2,76856,175.00,505 Summit Ave.,Jersey City,NJ,07306,202-656-5050,aisny.com,Juliet,If one asks for a discount can get both ultrasounds for $250.,
Hamilton Medical Arts,Pelvic Non-obstetric,2,76856,145.00,2501 Kuser Rd.,Hamilton,NJ,08691,609-585-8800,http://www.4rai.com,MB
Lawrenceville Executive Cente,Pelvic Non-obstetric,2,76856,145.00,3120 Princeton Pike,Lawrenceville,NJ,08648,(609) 219-1000,http://www.4rai.com,MB
East Windsor Medical Commons,Pelvic Non-obstetric,2,76856,145.00,300A Princeton-Hightstown Road Suite 101,East Windsor,NJ,08520,(609) 426-9200,http://www.4rai.com,MB
Quakerbridge Radiology - Lawrenceville,ULTRASOUND ABDOMEN COMPLETE ,2,76700,151.00,21 Lawrenceville-Pennington Rd.,Lawrenceville,NJ,08648,609-890-0033,www.qbradiology.com,MB
Quakerbridge Radiology - Mercerville,ULTRASOUND ABDOMEN COMPLETE ,2,76700,151.00,8 Quakerbridge Plz.,Mercerville,NJ,08619,609-890-0033,www.qbradiology.com,MB
Quakerbridge Radiology - Lawrenceville,ULTRASOUND PELVIS ,2,76856,139.00,21 Lawrenceville-Pennington Rd.,Lawrenceville,NJ,08648,609-890-0033,www.qbradiology.com,MB
Quakerbridge Radiology - Mercerville,ULTRASOUND PELVIS ,2,76856,139.00,8 Quakerbridge Plz.,Mercerville,NJ,08619,609-890-0033,www.qbradiology.com,MB
Denville Diagnostics,Screening Mammography ,1,,175.00,161 East Main St.,Denville,NJ,07834,973-586-1212,http://www.denvillediagnostics.com/,MB
Barnabas Health,Mammogram,1,,300.00,300 Second Ave.,Long Branch ,NJ,07740,(732) 923-7700,www.monmouthwilentzbreastcenter.com,Jeanne,From web story,
New Jersey Cancer Education and Early Detection/St. Clares ,Mammogram,1,,Free,20 Walnut St.,Sussex ,NJ,07461,973-702-2740,,Jeanne,Web site,Means test
Newton Memorial Hospitals Education/ Outreach office æ,Mammogram,1,,Free,175 High St.,Newton ,NJ,07860,(973) 383-2121,,jeanne,means tested,
DePaul Ambulatory Care Centeræ,Mammogram,1,,Free,11 Getty Ave. Building 275,Paterson,NJ,07503,973-754-2705,,jeanne,means tested,
